MeoDemoSat.UTCGregorian,MeoDemoSat.ElapsedSecs,MeoDemoSat.Earth.Latitude,MeoDemoSat.Earth.Longitude,MeoDemoSat.Earth.Altitude
10 Jan 2026 01:27:12.316,782832.3161661392,-31.8675195301065,41.90820630404419,957.7257896697602
10 Jan 2026 01:30:15.160,783015.1600053417,-40.17161859871911,49.22729253743777,945.5467061413347
10 Jan 2026 01:33:17.525,783197.5250215153,-47.75881568147786,58.69613486920285,933.5208383624658
10 Jan 2026 01:36:19.408,783379.4080286985,-54.14267877768363,71.33132507534494,921.8096032559743
10 Jan 2026 01:39:20.822,783560.8222004143,-58.56141276684212,87.94642975913111,910.6042290607202
10 Jan 2026 01:42:21.794,783741.7935209814,-60.11733248162968,107.7475460143442,900.14709924814
10 Jan 2026 01:45:22.348,783922.348342475,-58.37836409697348,127.4479895732415,890.7421547162212
10 Jan 2026 01:48:22.518,784102.5175007642,-53.81559997677063,143.8574381039996,882.7503641487783
10 Jan 2026 01:51:22.352,784282.3516867706,-47.32965635986771,156.3094414175947,876.5704091318412
10 Jan 2026 01:54:21.920,784461.9204528979,-39.66801488432224,165.6551441987746,872.6075549429588
10 Jan 2026 01:57:21.299,784641.2989650154,-31.30541587837028,172.9029270680713,871.2335997061409
10 Jan 2026 02:00:20.573,784820.5726418411,-22.52606492213759,178.8128035286342,872.7423249916719
10 Jan 2026 02:03:19.854,784999.8541540699,-13.5058561299785,-176.0889246258744,877.3072830099873
10 Jan 2026 02:06:19.275,785179.2751514353,-4.363636588781648,-171.4256267889819,884.946628281491
10 Jan 2026 02:09:18.955,785358.9550634846,4.808144869005345,-166.8997559606467,895.4978968007254
10 Jan 2026 02:12:18.991,785538.9911591657,13.92462396111378,-162.23867263663,908.6095584373397
10 Jan 2026 02:15:19.479,785719.4792316877,22.89448922406274,-157.146269081065,923.7553285152253
10 Jan 2026 02:18:20.520,785900.5197607912,31.60209685765612,-151.2492747467396,940.2665451576358
10 Jan 2026 02:21:22.188,786082.188044989,39.87729253863578,-144.0286801994095,957.3739479774813
10 Jan 2026 02:24:24.508,786264.5082860836,47.44463335136918,-134.7405682622926,974.2585233189056
10 Jan 2026 02:27:27.468,786447.4677914637,53.84451562787436,-122.4071796792828,990.1126969282832
10 Jan 2026 02:30:31.045,786631.0445633484,58.35673103505835,-106.210113457281,1004.202256190778
